iter	Passed	Remaining
0	0	65
1	1	61
2	2	83
3	3	88
4	5	98
5	6	104
6	8	106
7	9	106
8	10	107
9	12	108
10	13	110
11	14	109
12	16	112
13	18	112
14	19	112
15	21	111
16	22	110
17	23	108
18	25	107
19	26	105
20	27	104
21	29	103
22	31	105
23	32	101
24	33	101
25	35	101
26	37	100
27	38	99
28	40	98
29	41	97
30	43	96
31	44	95
32	46	95
33	48	94
34	50	93
35	52	93
36	54	92
37	55	90
38	57	89
39	58	88
40	60	86
41	61	84
42	62	83
43	64	81
44	65	79
45	66	78
46	67	76
47	69	74
48	70	73
49	71	71
50	72	69
51	73	68
52	75	66
53	76	65
54	77	63
55	78	61
56	79	60
57	81	58
58	82	57
59	83	55
60	84	54
61	86	52
62	88	51
63	89	50
64	92	49
65	94	48
66	95	46
67	96	45
68	97	44
69	99	42
70	100	41
71	102	39
72	103	38
73	104	36
74	106	35
75	107	34
76	109	32
77	110	31
78	111	29
79	112	28
80	114	26
81	115	25
82	117	23
83	118	22
84	119	21
85	121	19
86	122	18
87	124	16
88	125	15
89	126	14
90	128	12
91	129	11
92	130	9
93	131	8
94	132	6
95	133	5
96	134	4
97	135	2
98	137	1
99	138	0
